panel,campaign,arm,seed,clipped_gradient_norm,graph_balanced_loss,learning_rate,parameters_finite,unclipped_gradient_norm,update,update_seconds
v0.1-K0,v0.1,K0,20261201,3.327669842152292e-06,9.579846194635364e-07,2e-05,True,3.327669842152292e-06,1,0.05902545794378966
v0.1-K0,v0.1,K0,20261201,3.2908981799487802e-06,9.57676228801918e-07,4e-05,True,3.2908981799487802e-06,2,0.028136874898336828
v0.1-K0,v0.1,K0,20261201,3.217377729567505e-06,9.57069921514434e-07,6e-05,True,3.217377729567505e-06,3,0.02778841706458479
v0.1-K0,v0.1,K0,20261201,3.1072022515070753e-06,9.56187004107586e-07,8e-05,True,3.1072022515070753e-06,4,0.028232084005139768
v0.1-K0,v0.1,K0,20261201,2.9605919589255753e-06,9.550599093742159e-07,0.0001,True,2.9605919589255753e-06,5,0.02771595900412649
v0.1-K0,v0.1,K0,20261201,2.7779612343684162e-06,9.537323292730478e-07,0.00012,True,2.7779612343684162e-06,6,0.027761999983340502
v0.1-K0,v0.1,K0,20261201,2.5600051122730304e-06,9.522590587649297e-07,0.00014000000000000001,True,2.5600051122730304e-06,7,0.02830004203133285
v0.1-K0,v0.1,K0,20261201,2.3078133254246686e-06,9.507053723975864e-07,0.00016,True,2.3078133254246686e-06,8,0.027803041972219944
v0.1-K0,v0.1,K0,20261201,2.023022334847961e-06,9.491456841731535e-07,0.00018,True,2.023022334847961e-06,9,0.0277060829102993
v0.1-K0,v0.1,K0,20261201,1.7080162771469702e-06,9.476611523601143e-07,0.0002,True,1.7080162771469702e-06,10,0.02791666705161333
v0.1-K0,v0.1,K0,20261201,1.3661857241987362e-06,9.463358030670506e-07,0.00021999999999999998,True,1.3661857241987362e-06,11,0.028374499990604818
v0.1-K0,v0.1,K0,20261201,1.0022473238982847e-06,9.452507101826485e-07,0.00024,True,1.0022473238982847e-06,12,0.028389332932420075
v0.1-K0,v0.1,K0,20261201,6.226294655901486e-07,9.444758883669172e-07,0.00026000000000000003,True,6.226294655901486e-07,13,0.02796400000806898
v0.1-K0,v0.1,K0,20261201,2.362417190852597e-07,9.440599961341572e-07,0.00028000000000000003,True,2.362417190852597e-07,14,0.02793162502348423
v0.1-K0,v0.1,K0,20261201,1.5176735296793077e-07,9.440188870543795e-07,0.0003,True,1.5176735296793077e-07,15,0.02830287499818951
v0.1-K0,v0.1,K0,20261201,5.188041542224879e-07,9.443255021006901e-07,0.00032,True,5.188041542224879e-07,16,0.028374791028909385
v0.1-K0,v0.1,K0,20261201,8.57471003648049e-07,9.449050917991138e-07,0.00034,True,8.57471003648049e-07,17,0.02818962500896305
v0.1-K0,v0.1,K0,20261201,1.1519745959562818e-06,9.456401208692886e-07,0.00036,True,1.1519745959562818e-06,18,0.02905383298639208
v0.1-K0,v0.1,K0,20261201,1.3886221291925577e-06,9.463870586511403e-07,0.00037999999999999997,True,1.3886221291925577e-06,19,0.028165125055238605
v0.1-K0,v0.1,K0,20261201,1.5563716769666306e-06,9.470025580499627e-07,0.0004,True,1.5563716769666306e-06,20,0.027801374904811382
v0.1-K0,v0.1,K0,20261201,1.6479858091795562e-06,9.473718345944131e-07,0.00042,True,1.6479858091795562e-06,21,0.031198167009279132
v0.1-K0,v0.1,K0,20261201,1.6606351425344776e-06,9.474307641630473e-07,0.00043999999999999996,True,1.6606351425344776e-06,22,0.02830670797266066
