panel,row_id,arm,epsilon,relative_error,historical_stable_window_verdict,probe_group,fail,pass,total,horizon
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|token_encoder_parameter,D1,0.0001,0.0003246889446144245,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|token_encoder_parameter,D1,3e-05,0.002466097273644037,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|token_encoder_parameter,D1,1e-05,0.00012483863712892988,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|token_encoder_parameter,D1,3e-06,0.056491034224622746,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|coefficient_head_parameter,D1,0.0001,0.00010443627452662646,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|coefficient_head_parameter,D1,3e-05,0.0005416477621132771,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|coefficient_head_parameter,D1,1e-05,0.009275844600546427,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|coefficient_head_parameter,D1,3e-06,0.02317115398802289,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|initial_velocity,D1,0.0001,6.2509546122636e-08,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|initial_velocity,D1,3e-05,6.251860860080142e-08,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|initial_velocity,D1,1e-05,6.252204299258176e-08,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|initial_velocity,D1,3e-06,6.236785904150698e-08,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|initial_density,D1,0.0001,6.649886561939587e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|initial_density,D1,3e-05,6.833806095683821e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|initial_density,D1,1e-05,6.833859232308825e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K1|initial_density,D1,3e-06,6.833856419896142e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K2|token_encoder_parameter,D1,0.0001,0.00023020456869146308,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K2|token_encoder_parameter,D1,3e-05,0.0009965405783971706,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K2|token_encoder_parameter,D1,1e-05,0.003354633178174568,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K2|token_encoder_parameter,D1,3e-06,0.015902046864603614,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K2|coefficient_head_parameter,D1,0.0001,2.196328842570511e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K2|coefficient_head_parameter,D1,3e-05,0.00031350339722062875,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K2|coefficient_head_parameter,D1,1e-05,0.0027148745193762694,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K2|coefficient_head_parameter,D1,3e-06,0.002266803913505589,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K2|initial_velocity,D1,0.0001,1.1278900138633802e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K2|initial_velocity,D1,3e-05,1.1278581777549518e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K2|initial_velocity,D1,1e-05,1.1274119645735177e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K2|initial_velocity,D1,3e-06,1.1290510668777329e-07,True,,,,,
