panel,arm,group,lineage,model_seed,origin,variant,active_factors,component,cosine_alignment,full_gradient_L2,historical_reverse,mean_dot,primary_reason,projection_ratio,reconstructed_derivative,reconstruction_abs_error,reconstruction_pass,reconstruction_relative_error,residual_RMS,scaled_projection,sqrt_parameter_dimension,state_JVP_RMS,L2,Linf,RMS,deterministic_repeat,element_count,finite_count,histogram_decade,nonzero_element_count,sign_balance,A_mid,A_start,RHO_accept,RHO_over_dt2_A_mid,V_accept,V_over_dt_A_mid,X_accept,X_over_dt2_A_mid,D0_dimensionless_state_residual_RMS,D0_loss,random_minus_D0_state_RMS,random_model_loss,resolution,reason,count
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400401,8,VARIANT_LOW,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.9733325984164127,6.125420903735791e-18,1.8301864407790686e-19,9.150932203893963e-20,TASK_RESIDUAL_TOO_SMALL,0.029878541728665026,1.8301864407787927e-19,2.7588946453347154e-32,True,1.5074391241584748e-13,4.81571084065001e-09,1.1211422640373794,37.52332607858744,1.9522870215969013e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400401,8,VARIANT_LOW,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.9731726551836598,1.5614324980238209e-12,4.654829782792972e-14,2.3274148913961815e-14,GROUP_DIRECTION_PROJECTION_DILUTION,0.02981127771251216,4.654829782792363e-14,6.090006188306211e-27,True,1.3083198468005225e-13,2.3857859091969908e-06,1.11861829442592,37.52332607858744,1.0024262761940606e-08,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400401,8,VARIANT_LOW,[],L_rho,0.9513110570706881,1.2300916538052518e-14,-3.66855398753029e-16,-1.8342769937654126e-16,UNRESOLVED,0.029823419874297395,-3.668553987530825e-16,5.354393394187618e-29,True,1.4595378485329234e-13,1.7558726818380183e-06,1.1190739087218864,37.52332607858744,1.0981188646201097e-10,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400401,8,VARIANT_LOW,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.9968705323432862,1.639681740627809e-17,-7.446576711982396e-20,-3.723288355995264e-20,TASK_RESIDUAL_TOO_SMALL,0.004541476877781913,-7.446576711990528e-20,8.132239190175103e-32,True,1.092077541762313e-12,4.81571084065001e-09,0.29966865577773805,65.98484674529449,7.755816262271374e-12,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400401,8,VARIANT_LOW,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.9966259249572942,4.155932816002406e-12,-1.8427842444184497e-14,-9.213921222087678e-15,GROUP_DIRECTION_PROJECTION_DILUTION,0.004434104991598552,-1.8427842444175356e-14,9.141320169701085e-27,True,4.96060252164025e-13,2.3857859091969908e-06,0.29258373832317575,65.98484674529449,3.875081539384222e-09,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400401,8,VARIANT_LOW,[],L_rho,0.9939481361697825,3.292345811356999e-14,1.494262241957287e-16,7.471311209810948e-17,UNRESOLVED,0.0045385944477727876,1.4942622419621896e-16,4.902524006915707e-28,True,3.2808993423255882e-12,1.7558726818380183e-06,0.2994784590753319,65.98484674529449,4.280949267520669e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400402,8,VARIANT_LOW,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.9674508650767379,5.548162111665531e-18,-3.17507997339462e-19,-1.5875399866973356e-19,TASK_RESIDUAL_TOO_SMALL,0.05722759914889143,-3.175079973394671e-19,5.103714352626175e-33,True,1.6074285987730518e-14,4.843951854083089e-09,2.1473698635585463,37.52332607858744,3.387629747774169e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400402,8,VARIANT_LOW,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.967668722580875,1.4150753772092954e-12,-8.141484632714235e-14,-4.0707423163561405e-14,GROUP_DIRECTION_PROJECTION_DILUTION,0.05753392903189549,-8.141484632712281e-14,1.953850690051402e-26,True,2.3998702671505517e-13,2.4012075709486813e-06,2.158864379646123,37.52332607858744,1.751931833218502e-08,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400402,8,VARIANT_LOW,[],L_rho,0.9415473425716364,1.1069105153113756e-14,6.343284814490852e-16,3.171642407245159e-16,UNRESOLVED,0.05730621153875728,6.343284814490318e-16,5.334671871557092e-29,True,8.409951669473135e-14,1.7557167302639883e-06,2.1503196618972993,37.52332607858744,1.918613988462499e-10,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400402,8,VARIANT_LOW,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.7541116371652101,1.3960250046625384e-17,-1.0829320039252469e-19,-5.4146600196342475e-20,TASK_RESIDUAL_TOO_SMALL,0.007757253633053832,-1.0829320039268495e-19,1.6026144549732286e-31,True,1.4798846549570466e-12,4.843951854083089e-09,0.511861192141436,65.98484674529449,1.482298715885118e-11,,,,,,,,,,,,,,,,,,,,,,,,
