panel,probe,arm,lineage,epsilon,FD,AD,FD_AD_rel,stable,pair,pass,failed_probe_key,historical_pass_candidate_count,historical_pass_candidate_keys,matching_stratum,observed_distinct_control_count,required_distinct_control_count,selected_control_keys,classification,count,group,pass_or_consistent_count,passing_seed_count,probe_count,raw_23_of_24_pass,seed_aggregation_pass,seed_count
a-b,1,D1,LCDF_07,0.01,0.00039366449543463966,0.00041304100025391435,0.04691181942558513,False,,,,,,,,,,,,,,,,,,
a-b,1,D1,LCDF_07,0.003,0.0003936619380542905,0.00041304100025391435,0.04691801101515513,False,,,,,,,,,,,,,,,,,,
a-b,1,D1,LCDF_07,0.001,0.00039536914125948286,0.00041304100025391435,0.04278475740560339,False,,,,,,,,,,,,,,,,,,
a-b,1,D1,LCDF_07,0.0003,0.00040169780816482853,0.00041304100025391435,0.027462629816683255,False,,,,,,,,,,,,,,,,,,
a-b,1,D1,LCDF_07,0.0001,0.00041031462633817073,0.00041304100025391435,0.006600734343727627,False,,,,,,,,,,,,,,,,,,
a-b,1,D1,LCDF_07,3e-05,0.00041255308671587587,0.00041304100025391435,0.0011812714421535362,False,,,,,,,,,,,,,,,,,,
a-b,2,D1,LCDF_07,0.01,-0.0002949005453979636,-0.00029868982698141573,0.012686342959005024,False,,,,,,,,,,,,,,,,,,
a-b,2,D1,LCDF_07,0.003,-0.0002955093688430943,-0.00029868982698141573,0.010648029664965147,False,,,,,,,,,,,,,,,,,,
a-b,2,D1,LCDF_07,0.001,-0.0002971604601206823,-0.00029868982698141573,0.005120250917780927,False,,,,,,,,,,,,,,,,,,
a-b,2,D1,LCDF_07,0.0003,-0.00029847997858045705,-0.00029868982698141573,0.0007025629331920267,False,,,,,,,,,,,,,,,,,,
a-b,2,D1,LCDF_07,0.0001,-0.00029862052032536557,-0.00029868982698141573,0.00023203554252444226,False,,,,,,,,,,,,,,,,,,
a-b,2,D1,LCDF_07,3e-05,-0.00029868960615038925,-0.00029868982698141573,7.393322655516359e-07,False,,,,,,,,,,,,,,,,,,
a-b,3,D2,LCDF_06,0.01,7.591995608569047e-12,7.590096454632955e-12,0.0002501521383847821,False,,,,,,,,,,,,,,,,,,
