panel,Adam_first_moment_L2,Adam_second_moment_L2,TRAIN_Q,TRAIN_lineage_Q,TRAIN_raw_RMSE,VALIDATION_Q,VALIDATION_lineage_Q,VALIDATION_raw_RMSE,all_BCD,arm,checkpoint_sha256,coefficient_RMS,coefficient_saturation,gate_B,gate_C,gate_D_HET_S2_02,index,parameter_sha256,path,run_id,update
a-h,0.0,0.0,1.0041601503264446,"{""HET_S1_02"":0.18062384329409525,""HET_S1_03"":0.21959785478794258,""HET_S2_01"":3.125989361102574,""HET_S2_03"":0.8276813722388606,""HET_S3_01"":1.3292331441325842,""HET_S3_02"":0.3895044208281895,""HET_S4_01"":0.7663693254829297,""HET_S4_02"":0.9097931259588443,""LCDF_01"":0.06493036801400624,""LCDF_04"":0.14503791248010275,""LCDF_05"":0.2337697184121906,""LCDF_06"":0.006081075146937182,""LCDF_07"":0.04903095115364791,""LCDF_08"":0.4037960014058773}",1.732656895362216,2.0652280511835173,"{""HET_S1_01"":0.09093412509517707,""HET_S2_02"":3.9927369935573553,""HET_S3_03"":0.5294809737107602,""HET_S4_03"":0.9110981271142659}",3.5635068989894734,False,D1,sha256:2ef296d9afa74a10cdf6aa79c1cfa9e2abe19055e21f5e609103f06d4ab46f7c,0.004584880997707612,0.0,False,False,False,0,sha256:bc10f9f3d90b05435e04ce2b8cabc153763fdc5c2f499c570e5d0b86767b1893,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/checkpoints/D1_seed20700711_update0000.pt,D1_seed20700711,0
a-h,0.1148985496699324,6.62539341676818e-05,1.0040256802760978,"{""HET_S1_02"":0.1803969769775622,""HET_S1_03"":0.21939488196932863,""HET_S2_01"":3.1257007595519304,""HET_S2_03"":0.8275099500516548,""HET_S3_01"":1.3289388275033156,""HET_S3_02"":0.3894032834220204,""HET_S4_01"":0.7662354767332904,""HET_S4_02"":0.909599692228968,""LCDF_01"":0.06489988892513959,""LCDF_04"":0.14499342382743188,""LCDF_05"":0.2337107894806854,""LCDF_06"":0.006013575289951391,""LCDF_07"":0.04897867247771225,""LCDF_08"":0.4037303165790994}",1.7324248701619755,2.0650673437346763,"{""HET_S1_01"":0.09081571158643903,""HET_S2_02"":3.9924565328051442,""HET_S3_03"":0.5293375126794896,""HET_S4_03"":0.9109652432987964}",3.563229601718436,False,D1,sha256:a8d918538356164ec541376d44d08db789b9d014c7d7224b4eae3c95ac336e52,0.004509712638307026,0.0,False,False,False,1,sha256:9802034c101c84bcd61a5a6fcc1cee13ba7b21dcf99be47397ec31f0688a051d,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/checkpoints/D1_seed20700711_update0020.pt,D1_seed20700711,20
a-h,0.1277709417579211,0.0001300382594190873,1.0036993621727879,"{""HET_S1_02"":0.17985537836919174,""HET_S1_03"":0.2189071028093357,""HET_S2_01"":3.125002015250108,""HET_S2_03"":0.8270981308358335,""HET_S3_01"":1.328216689501395,""HET_S3_02"":0.38915557262348055,""HET_S4_01"":0.7659132932344347,""HET_S4_02"":0.9091274271472513,""LCDF_01"":0.0648251398775867,""LCDF_04"":0.14488527338160706,""LCDF_05"":0.23356681243889757,""LCDF_06"":0.005853807241042793,""LCDF_07"":0.04885275178802274,""LCDF_08"":0.40357242672892857}",1.7318618152432974,2.064676363844304,"{""HET_S1_01"":0.09053456430193826,""HET_S2_02"":3.9917736314836563,""HET_S3_03"":0.5289893858448267,""HET_S4_03"":0.9106431501918315}",3.562554974267047,False,D1,sha256:29ca9e1bb7cd153b5d142e7bf53dc990581dcd008920d95e76c5ded46c370ecc,0.004332668403697899,0.0,False,False,False,2,sha256:a50ab05365408e770cd6b5c78b17a5fa26c238060a6d5a4111fe35ecf64f7215,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/checkpoints/D1_seed20700711_update0040.pt,D1_seed20700711,40
a-h,0.12860149428702372,0.0001929644365443211,1.003272147609956,"{""HET_S1_02"":0.17914664297342933,""HET_S1_03"":0.2182730865906146,""HET_S2_01"":3.124081632084195,""HET_S2_03"":0.8265564742541288,""HET_S3_01"":1.3272814484111553,""HET_S3_02"":0.38883964214827565,""HET_S4_01"":0.7654888110566906,""HET_S4_02"":0.9085132457149521,""LCDF_01"":0.06472831557998562,""LCDF_04"":0.1447437098814299,""LCDF_05"":0.23337924865147572,""LCDF_06"":0.00563838380657193,""LCDF_07"":0.04868645224584797,""LCDF_08"":0.4033626669815345}",1.7311246656383774,2.064165485108937,"{""HET_S1_01"":0.09016301642026109,""HET_S2_02"":3.990880263877699,""HET_S3_03"":0.5285432082176473,""HET_S4_03"":0.9102219655493481}",3.5616734639190812,False,D1,sha256:08176cb715e711d13fb188d2a7f308dc2ccd19767cee4ce9bc7d42c8f25566ce,0.00410385720984524,0.0,False,False,False,3,sha256:6ac14b3d73a42db9a81df8b00fbfd578c095066763a00c20a4767827455994d3,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/checkpoints/D1_seed20700711_update0060.pt,D1_seed20700711,60
a-h,0.1292752368474926,0.0002548459574165554,1.0028458138343175,"{""HET_S1_02"":0.17844999276927936,""HET_S1_03"":0.21764870007210296,""HET_S2_01"":3.123162025436933,""HET_S2_03"":0.8260194363888581,""HET_S3_01"":1.3263443789754348,""HET_S3_02"":0.3885262455338275,""HET_S4_01"":0.7650667471541087,""HET_S4_02"":0.9078991825582741,""LCDF_01"":0.06463130728397777,""LCDF_04"":0.14460219416473472,""LCDF_05"":0.23319140979091377,""LCDF_06"":0.005424268330381417,""LCDF_07"":0.048520728416716244,""LCDF_08"":0.40315336951737457}",1.7303890358129501,2.063655223359893,"{""HET_S1_01"":0.08979731269570962,""HET_S2_02"":3.9899867368896333,""HET_S3_03"":0.5281035414425195,""HET_S4_03"":0.9098024264616976}",3.5607930181678396,False,D1,sha256:16d9c68d0fbd7bbec43e2cf192ce3a8932bd78343c03f034d48387c2a9fa2065,0.0038854392146828575,0.0,False,False,False,4,sha256:91379d05530933a0bd46fa47293f8066db85dae2c197b994c26e2c2fb0511632,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/checkpoints/D1_seed20700711_update0080.pt,D1_seed20700711,80
a-h,0.1287451199763196,0.00031505496048349303,1.0024193977550375,"{""HET_S1_02"":0.17776537626679112,""HET_S1_03"":0.2170329653279517,""HET_S2_01"":3.122241956660841,""HET_S2_03"":0.8254867403185494,""HET_S3_01"":1.325400999313623,""HET_S3_02"":0.38821357141319185,""HET_S4_01"":0.7646468646183036,""HET_S4_02"":0.9072829098622891,""LCDF_01"":0.06453365982465822,""LCDF_04"":0.1444603487003747,""LCDF_05"":0.2330025954688511,""LCDF_06"":0.005212432850327469,""LCDF_07"":0.04835544149761789,""LCDF_08"":0.4029445981075277}",1.7296532639743465,2.063144217910708,"{""HET_S1_01"":0.08943796549752893,""HET_S2_02"":3.989090670751987,""HET_S3_03"":0.5276685831118972,""HET_S4_03"":0.909383633477841}",3.5599112891778875,False,D1,sha256:f2e380ab259f3189eca2caa3d4b300746c23126f111ecb882685cf657e2d47a7,0.003679835533840613,0.0,False,False,False,5,sha256:68eb497fb6f1ce30962cf9591f37f349f88a1e1242587c7feff249c9b148cf93,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/checkpoints/D1_seed20700711_update0100.pt,D1_seed20700711,100
a-h,0.12927963817698146,0.00037446313983228866,1.0019933405459036,"{""HET_S1_02"":0.1770987233043165,""HET_S1_03"":0.2164282591959009,""HET_S2_01"":3.121324472435473,""HET_S2_03"":0.8249621662599697,""HET_S3_01"":1.3244453512011987,""HET_S3_02"":0.3878983002261072,""HET_S4_01"":0.7642319517620842,""HET_S4_02"":0.9066625527197306,""LCDF_01"":0.06443486043262057,""LCDF_04"":0.1443183097515993,""LCDF_05"":0.2328123015141162,""LCDF_06"":0.005007694934067831,""LCDF_07"":0.048191934823899794,""LCDF_08"":0.40273837970407794}",1.7289181113585166,2.062631738286978,"{""HET_S1_01"":0.08909021702456761,""HET_S2_02"":3.9881906200029253,""HET_S3_03"":0.5272359579905153,""HET_S4_03"":0.9089661751176754}",3.5590270165312377,False,D1,sha256:355f342370e666c55bc6da1cd79b5208fd3622d43ac336978c6b4ccf3b82c7e5,0.0034923504275328333,0.0,False,False,False,6,sha256:4f498c6a79256d43ed3ac7a7fc9052fec93169146477f42d6d3fff878bfc358d,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/checkpoints/D1_seed20700711_update0120.pt,D1_seed20700711,120
a-h,0.12903613839957126,0.00043225343782646254,1.0015658335764506,"{""HET_S1_02"":0.17643143705267397,""HET_S1_03"":0.2158272377409275,""HET_S2_01"":3.120398677868575,""HET_S2_03"":0.8244335950031884,""HET_S3_01"":1.3234955783632292,""HET_S3_02"":0.38759049925672867,""HET_S4_01"":0.763813001412807,""HET_S4_02"":0.9060435869333706,""LCDF_01"":0.06433655023082524,""LCDF_04"":0.1441756240396687,""LCDF_05"":0.23262203764305536,""LCDF_06"":0.004795514133557278,""LCDF_07"":0.04802611383032033,""LCDF_08"":0.4025282760820272}",1.7281804572122161,2.0621191134699965,"{""HET_S1_01"":0.08873783871964151,""HET_S2_02"":3.9872892506258504,""HET_S3_03"":0.5268126583726084,""HET_S4_03"":0.9085479642563936}",3.558142493356735,False,D1,sha256:25c85c73bb216d3cf45840e0778d067a920755e827f570914d45ffa846a79527,0.00331646810787776,0.0,False,False,False,7,sha256:1e8b953840d2272c921f4a88f52efe275fd972cb7f64401491468972a9b911ba,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/checkpoints/D1_seed20700711_update0140.pt,D1_seed20700711,140
a-h,0.12877919724629813,0.0004889097661679899,1.0011383549955097,"{""HET_S1_02"":0.17578332045211315,""HET_S1_03"":0.21523719181761083,""HET_S2_01"":3.119476291290221,""HET_S2_03"":0.8239141655302198,""HET_S3_01"":1.3225290072659228,""HET_S3_02"":0.3872776568887204,""HET_S4_01"":0.7633997374167029,""HET_S4_02"":0.9054184506057554,""LCDF_01"":0.06423659443338102,""LCDF_04"":0.1440325236483563,""LCDF_05"":0.2324296935467939,""LCDF_06"":0.00459242918612997,""LCDF_07"":0.047862291415147806,""LCDF_08"":0.4023214201841992}",1.727442852049687,2.061604421550885,"{""HET_S1_01"":0.0883983861772646,""HET_S2_02"":3.986382945364145,""HET_S3_03"":0.5263899186952069,""HET_S4_03"":0.9081308031114383}",3.557254403441649,False,D1,sha256:8d1a75f8c8da0ab40a7870202aaec7e24f2a1252571b591d2ea856b12f2cf52d,0.0031659667182439323,0.0,False,False,False,8,sha256:6ed61465ff8b4e43044eb11caf4775dc24e7b964e61e32b90a93f08175e447b3,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/checkpoints/D1_seed20700711_update0160.pt,D1_seed20700711,160
a-h,0.12954636119834903,0.0005445807159441276,1.0007104281674417,"{""HET_S1_02"":0.17514487611077764,""HET_S1_03"":0.21465489899161935,""HET_S2_01"":3.1185522151095975,""HET_S2_03"":0.8233977287386764,""HET_S3_01"":1.3215572217816032,""HET_S3_02"":0.3869658964447334,""HET_S4_01"":0.7629876082985007,""HET_S4_02"":0.9047911572685945,""LCDF_01"":0.06413607223297167,""LCDF_04"":0.14388895810400748,""LCDF_05"":0.2322363934548591,""LCDF_06"":0.004390460249142188,""LCDF_07"":0.04769841680727774,""LCDF_08"":0.4021144284109803}",1.7267044734463122,2.0610890246475084,"{""HET_S1_01"":0.08806323300658736,""HET_S2_02"":3.985474256145797,""HET_S3_03"":0.5259723002256766,""HET_S4_03"":0.9077140684579648}",3.556365097091269,False,D1,sha256:b93b26e6ac8b441d7b5af23ed13b1b5ee7212fefd1a6329b40988a675997cd2c,0.003038992924197151,0.0,False,False,False,9,sha256:ec73787614a711e2f2c8a301e2401a75bcc02cd9dfded8faea731ad4b30daf47,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/checkpoints/D1_seed20700711_update0180.pt,D1_seed20700711,180
