panel,lineage,run_id,Q_def,origin,record_id,variant
(a),HET_S1_02,D1_seed20700711,0.1648740982239475,0,HET_S1_02_LOW_N8_O00,LOW
(a),HET_S1_02,D1_seed20700711,0.1628625832161897,1,HET_S1_02_LOW_N8_O01,LOW
(a),HET_S1_02,D1_seed20700711,0.16083377408769442,2,HET_S1_02_LOW_N8_O02,LOW
(a),HET_S1_02,D1_seed20700711,0.15878824065554847,3,HET_S1_02_LOW_N8_O03,LOW
(a),HET_S1_02,D1_seed20700711,0.15672657377982394,4,HET_S1_02_LOW_N8_O04,LOW
(a),HET_S1_02,D1_seed20700711,0.15464937392875835,5,HET_S1_02_LOW_N8_O05,LOW
(a),HET_S1_02,D1_seed20700711,0.15255725501602455,6,HET_S1_02_LOW_N8_O06,LOW
(a),HET_S1_02,D1_seed20700711,0.15045088974636095,7,HET_S1_02_LOW_N8_O07,LOW
(a),HET_S1_02,D1_seed20700711,0.14833097465503317,8,HET_S1_02_LOW_N8_O08,LOW
(a),HET_S1_02,D1_seed20700711,0.14619819307155965,9,HET_S1_02_LOW_N8_O09,LOW
(a),HET_S1_02,D1_seed20700711,0.14405324988166796,10,HET_S1_02_LOW_N8_O10,LOW
(a),HET_S1_02,D1_seed20700711,0.14189689853083381,11,HET_S1_02_LOW_N8_O11,LOW
(a),HET_S1_02,D1_seed20700711,0.13972998664473835,12,HET_S1_02_LOW_N8_O12,LOW
(a),HET_S1_02,D1_seed20700711,0.13755330132465696,13,HET_S1_02_LOW_N8_O13,LOW
(a),HET_S1_02,D1_seed20700711,0.13536770365370715,14,HET_S1_02_LOW_N8_O14,LOW
(a),HET_S1_02,D1_seed20700711,0.13317408586615376,15,HET_S1_02_LOW_N8_O15,LOW
(a),HET_S1_02,D1_seed20700711,0.13097339048396828,16,HET_S1_02_LOW_N8_O16,LOW
(a),HET_S1_02,D1_seed20700711,0.12876661134364087,17,HET_S1_02_LOW_N8_O17,LOW
(a),HET_S1_02,D1_seed20700711,0.12655475754600584,18,HET_S1_02_LOW_N8_O18,LOW
(a),HET_S1_02,D1_seed20700711,0.12433892158033474,19,HET_S1_02_LOW_N8_O19,LOW
(a),HET_S1_02,D1_seed20700711,0.12212023269177642,20,HET_S1_02_LOW_N8_O20,LOW
(a),HET_S1_02,D1_seed20700711,0.11989987472927707,21,HET_S1_02_LOW_N8_O21,LOW
(a),HET_S1_02,D1_seed20700711,0.11767912515263228,22,HET_S1_02_LOW_N8_O22,LOW
(a),HET_S1_02,D1_seed20700711,0.11545931323721378,23,HET_S1_02_LOW_N8_O23,LOW
(a),HET_S1_02,D1_seed20700711,0.11324186165935292,24,HET_S1_02_LOW_N8_O24,LOW
(a),HET_S1_02,D1_seed20700711,0.11102829457048974,25,HET_S1_02_LOW_N8_O25,LOW
(a),HET_S1_02,D1_seed20700711,0.10882018792932942,26,HET_S1_02_LOW_N8_O26,LOW
(a),HET_S1_02,D1_seed20700711,0.10661925540663345,27,HET_S1_02_LOW_N8_O27,LOW
(a),HET_S1_02,D1_seed20700711,0.10442728590089782,28,HET_S1_02_LOW_N8_O28,LOW
(a),HET_S1_02,D1_seed20700711,0.10224621828798303,29,HET_S1_02_LOW_N8_O29,LOW
(a),HET_S1_02,D1_seed20700711,0.10007813664017708,30,HET_S1_02_LOW_N8_O30,LOW
(a),HET_S1_02,D1_seed20700711,0.09792519624988896,31,HET_S1_02_LOW_N8_O31,LOW
(a),HET_S1_02,D1_seed20700711,0.21987401648424978,0,HET_S1_02_MAIN_N8_O00,MAIN
(a),HET_S1_02,D1_seed20700711,0.21718856278852042,1,HET_S1_02_MAIN_N8_O01,MAIN
(a),HET_S1_02,D1_seed20700711,0.21448027937047814,2,HET_S1_02_MAIN_N8_O02,MAIN
(a),HET_S1_02,D1_seed20700711,0.21174992690923672,3,HET_S1_02_MAIN_N8_O03,MAIN
