campaign,arm,seed,terminal_update,selected_update,TRAIN_Q,validation_Q,seed_PASS,failure_gate,optimizer_steps,peak_RSS_bytes,checkpoint_integrity,checkpoint_sha256,source
Stage06C,D1,20600611,1500,1500,0.9622027830868817,0.6421614364622288,False,B_train_fit,1500,898105344,True,sha256:80f93e2fcca616635880160dff811a80f5806ab01c5f72b05f0df8cd1e8c188d,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D1_seed20600611/run_summary.json
Stage06C,D1,20600612,1500,1500,0.9722365369659542,0.6542211423482678,False,B_train_fit,1500,807731200,True,sha256:de645c8b734c75997ee1c0a9b5624ca3570cffb75e426f4fb15bef5876a166c0,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D1_seed20600612/run_summary.json
Stage06C,D1,20600613,1500,1500,0.968333653474331,0.6511944072520713,False,B_train_fit,1500,1001193472,True,sha256:059b67f0cc9aaef791094cd1ebeebefa5334ab99e77a50b0d79d4ce2fe8aceaf,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D1_seed20600613/run_summary.json
Stage06C,D2,20600611,1500,1500,0.9672182048887038,0.645522840749206,False,B_train_fit,1500,921403392,True,sha256:5a7483ae7636904e5d3249e3ebcc67d8099410ee47e16ef550ccb7d2fbb35e86,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D2_seed20600611/run_summary.json
Stage06C,D2,20600612,1500,1500,0.967138940636114,0.6399460132891721,False,B_train_fit,1500,904773632,True,sha256:50e115f3e9330fe8428e37277350c9e703e0eff1458d647fc63abf54067bc64c,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D2_seed20600612/run_summary.json
Stage06C,D2,20600613,1500,1500,0.9620084229649728,0.6411884808937747,False,B_train_fit,1500,973209600,True,sha256:e477259f142c164643ce3d1d8c5a9f2a84f152c98f1e5f654b07cc5f22682531,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D2_seed20600613/run_summary.json
Stage06C,D3,20600611,800,500,0.7312509582353757,0.12346395777985979,False,B_train_fit,800,1262108672,True,sha256:20ede941351a5df00e9fa334a2701bd3e578a926e20c963fb112c780403e5538,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D3_seed20600611/run_summary.json
Stage06C,D3,20600612,820,520,0.7204726348914522,0.15666232982783143,False,B_train_fit,820,1209090048,True,sha256:8509a842305dc40c20e8f3f8d614627c55df9779042fe43257d84e68e29f70dc,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D3_seed20600612/run_summary.json
Stage06C,D3,20600613,1000,700,0.7246873353937681,0.07872118415663835,False,B_train_fit,1000,1229193216,True,sha256:b080c6ee85becadf41a616c2b8ebbcafd0ff2cb2fc8507e061fa452d48bde036,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D3_seed20600613/run_summary.json
Stage07D,D1,20700711,1500,1500,0.9835541867711732,2.040410564270946,False,"B_train_fit,C_validation_transfer,D_HET_S2_02",1500,1152925696,True,sha256:c0c375be619e49f38702f841bda8ca9a28ec49ec2ee23dada44ae004de0c7268,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D1_seed20700711/run_summary.json
Stage07D,D1,20700712,1500,1500,0.9770863930292235,2.029706355648772,False,"B_train_fit,C_validation_transfer,D_HET_S2_02",1500,1113980928,True,sha256:ec8b5b1ebb01f74599930fc867bf5dca8a27aa93fd102f86bd43a75314e842a5,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D1_seed20700712/run_summary.json
Stage07D,D1,20700713,1500,1500,0.9787099392218007,2.0349343964541005,False,"B_train_fit,C_validation_transfer,D_HET_S2_02",1500,1145487360,True,sha256:3a830cf68c9a77f25991458e871e74085e7c02ac457983cb72f6bc992e923cd8,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D1_seed20700713/run_summary.json
Stage07D,D2,20700711,1500,1500,0.9769910864363911,2.031637650099132,False,"B_train_fit,C_validation_transfer,D_HET_S2_02",1500,1285783552,True,sha256:bbfbadffeb87ff98f3dec0441c61b909f9164aa077b49df5a4ac93e730f6c1ca,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D2_seed20700711/run_summary.json
Stage07D,D2,20700712,1500,1500,0.9799565645515831,2.035608899057209,False,"B_train_fit,C_validation_transfer,D_HET_S2_02",1500,1287094272,True,sha256:8b15e26bf68a311aa93f6a9a7083159cb0e752749b25ec96b90abe4ee9924a16,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D2_seed20700712/run_summary.json
Stage07D,D2,20700713,1500,1500,0.9798747737948718,2.0347537550674972,False,"B_train_fit,C_validation_transfer,D_HET_S2_02",1500,1437532160,True,sha256:cfe490640d2f72062714b97a940cd770a724e8fa92f0911c6f5e6125846e6c2c,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D2_seed20700713/run_summary.json
Stage07D,D3,20700711,1240,940,0.7956951652483188,1.762141387319439,False,"B_train_fit,C_validation_transfer,D_HET_S2_02",1240,1561772032,True,sha256:d69f500775d7dbf95191dea75cd51e46ac6c75c2c5b3eaa918dcc5592c13081c,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D3_seed20700711/run_summary.json
Stage07D,D3,20700712,1380,1080,0.7919778295036133,1.759669732695545,False,"B_train_fit,C_validation_transfer,D_HET_S2_02",1380,1583497216,True,sha256:3b2608fd30aa8542da0252fc41369a50e24496518cc93a217d1232d24b08494e,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D3_seed20700712/run_summary.json
Stage07D,D3,20700713,1240,940,0.7946715254893983,1.7642117892841283,False,"B_train_fit,C_validation_transfer,D_HET_S2_02",1240,1568866304,True,sha256:c6e4e3c85d12c15cd9ebe2a37caff1779ec3043f256487947cbf30013cdbb25e,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D3_seed20700713/run_summary.json
